"model","Period","ds","Point_Forecast","Lower_95","Upper_95","Lower_80","Upper_80"
"ARIMAX","2026-01",2026-01-01,300577,133323,677649,176648,511449
"ARIMAX","2026-02",2026-02-01,323703,97170,1078361,147376,710998
"ARIMAX","2026-03",2026-03-01,301371,67575,1344059,113380,801063
"ARIMAX","2026-04",2026-04-01,237984,41831,1353929,76357,741732
"ARIMAX","2026-05",2026-05-01,169664,24093,1194763,47349,607947
"ARIMAX","2026-06",2026-06-01,185112,21691,1579789,45560,752126
"ARIMAX","2026-07",2026-07-01,271230,26644,2761104,59485,1236707
"ARIMAX","2026-08",2026-08-01,272785,22747,3271337,53748,1384454
"ARIMAX","2026-09",2026-09-01,238036,17021,3328855,42417,1335809
"ARIMAX","2026-10",2026-10-01,255400,15794,4129907,41389,1576013
"ARIMAX","2026-11",2026-11-01,303301,16339,5630282,44910,2048347
"ARIMAX","2026-12",2026-12-01,321560,15184,6810009,43683,2367075
"Prophet","2026-01",2026-01-01,188460,43110,658456,43110,658456
"Prophet","2026-02",2026-02-01,190759,48599,805442,48599,805442
"Prophet","2026-03",2026-03-01,440157,122016,1721296,122016,1721296
"Prophet","2026-04",2026-04-01,135530,39110,498518,39110,498518
"Prophet","2026-05",2026-05-01,84262,22687,334515,22687,334515
"Prophet","2026-06",2026-06-01,96929,22670,345840,22670,345840
"Prophet","2026-07",2026-07-01,135320,34648,497353,34648,497353
"Prophet","2026-08",2026-08-01,144646,36431,580400,36431,580400
"Prophet","2026-09",2026-09-01,122101,31285,507924,31285,507924
"Prophet","2026-10",2026-10-01,141284,39459,516926,39459,516926
"Prophet","2026-11",2026-11-01,169898,43794,632934,43794,632934
"Prophet","2026-12",2026-12-01,429674,110693,1587815,110693,1587815
"BSTS","2026-01",2026-01-01,191713,38540,906317,68351,554209
"BSTS","2026-02",2026-02-01,202150,26335,1179077,58357,685081
"BSTS","2026-03",2026-03-01,179172,20502,1473111,43760,670611
"BSTS","2026-04",2026-04-01,101502,8398,1113222,22587,498571
"BSTS","2026-05",2026-05-01,68208,4523,936840,12911,376905
"BSTS","2026-06",2026-06-01,76140,3417,1422758,9838,545777
"BSTS","2026-07",2026-07-01,113263,4071,3098695,14094,819285
"BSTS","2026-08",2026-08-01,109422,2734,4227649,10604,1105274
"BSTS","2026-09",2026-09-01,98596,1921,4757641,7951,1010634
"BSTS","2026-10",2026-10-01,107084,1285,7462922,6830,1420654
"BSTS","2026-11",2026-11-01,140090,1570,12394849,7825,2493476
"BSTS","2026-12",2026-12-01,294241,1981,34141662,13872,5464477
