"Date","Arrivals"
2014-01-01,146575
2014-02-01,141878
2014-03-01,133048
2014-04-01,112631
2014-05-01,90046
2014-06-01,103175
2014-07-01,133971
2014-08-01,140319
2014-09-01,105535
2014-10-01,121576
2014-11-01,119727
2014-12-01,178672
2015-01-01,156246
2015-02-01,165541
2015-03-01,157051
2015-04-01,122217
2015-05-01,113529
2015-06-01,115467
2015-07-01,175804
2015-08-01,166610
2015-09-01,143374
2015-10-01,132280
2015-11-01,144147
2015-12-01,206114
2016-01-01,194280
2016-02-01,197697
2016-03-01,192841
2016-04-01,136367
2016-05-01,125044
2016-06-01,118038
2016-07-01,209351
2016-08-01,186288
2016-09-01,148499
2016-10-01,150419
2016-11-01,167217
2016-12-01,224791
2017-01-01,219360
2017-02-01,197517
2017-03-01,188076
2017-04-01,160249
2017-05-01,121891
2017-06-01,123351
2017-07-01,205482
2017-08-01,190928
2017-09-01,145077
2017-10-01,152429
2017-11-01,167511
2017-12-01,244536
2018-01-01,238924
2018-02-01,235618
2018-03-01,233382
2018-04-01,180429
2018-05-01,129466
2018-06-01,146828
2018-07-01,217829
2018-08-01,200359
2018-09-01,149087
2018-10-01,153123
2018-11-01,195582
2018-12-01,253169
2019-01-01,244239
2019-02-01,252033
2019-03-01,244328
2019-04-01,166975
2019-05-01,37802
2019-06-01,63072
2019-07-01,115701
2019-08-01,143587
2019-09-01,108575
2019-10-01,118743
2019-11-01,176984
2019-12-01,241663
2020-01-01,228434
2020-02-01,207507
2020-03-01,71370
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,393
2021-01-01,1682
2021-02-01,3366
2021-03-01,4581
2021-04-01,4168
2021-05-01,1497
2021-06-01,1614
2021-07-01,2429
2021-08-01,5040
2021-09-01,13547
2021-10-01,22771
2021-11-01,44294
2021-12-01,89506
2022-01-01,82327
2022-02-01,96507
2022-03-01,106500
2022-04-01,62980
2022-05-01,30207
2022-06-01,32856
2022-07-01,47293
2022-08-01,37760
2022-09-01,29802
2022-10-01,42026
2022-11-01,59759
2022-12-01,91961
2023-01-01,102545
2023-02-01,107639
2023-03-01,125495
2023-04-01,105498
2023-05-01,83309
2023-06-01,100388
2023-07-01,143039
2023-08-01,136405
2023-09-01,111938
2023-10-01,109199
2023-11-01,151496
2023-12-01,210352
2024-01-01,208253
2024-02-01,218350
2024-03-01,209181
2024-04-01,148867
2024-05-01,112128
2024-06-01,113470
2024-07-01,187810
2024-08-01,164609
2024-09-01,122140
2024-10-01,135907
2024-11-01,184158
2024-12-01,248592
2025-01-01,252761
2025-02-01,240217
2025-03-01,229298
2025-04-01,174608
2025-05-01,132919
2025-06-01,138241
2025-07-01,200244
2025-08-01,198235
2025-09-01,158971
2025-10-01,165193
2025-11-01,212906
2025-12-01,258928
